Time,EMG,Force
0.399,0.079629,11.812251
0.4,0.075121,11.64279
0.401,0.069163,11.529816
0.402,0.060147,11.72752
0.403,0.054994,11.671033
0.404,0.050164,11.614547
0.405,0.039215,11.671033
0.406,0.030843,11.840494
0.407,0.026013,11.840494
0.408,0.019894,11.755764
0.409,0.013937,11.72752
0.41,0.009751,11.953468
0.411,0.005403,11.981711
0.412,9.00E-05,11.840494
0.413,-0.004257,11.812251
0.414,-0.009088,11.784007
0.415,-0.013918,11.981711
0.416,-0.01907,11.699277
0.417,-0.022612,11.840494
0.418,-0.025027,11.755764
0.419,-0.026316,11.925225
0.42,-0.027121,12.066442
0.421,-0.027765,12.094685
0.422,-0.026799,12.518337
0.423,-0.025833,11.72752
0.424,-0.024061,11.868738
0.425,-0.022773,11.840494
0.426,-0.020841,11.812251
0.427,-0.019231,12.179416
0.428,-0.017621,12.320633
0.429,-0.015528,12.490094
0.43,-0.013113,12.292389
0.431,-0.010376,12.320633
0.432,-0.007316,12.151172
0.433,-0.004418,12.094685
0.434,-0.002808,11.840494
0.435,-0.003774,11.981711
0.436,-0.006189,12.122929
0.437,-0.010215,12.320633
0.438,-0.015689,12.405363
0.439,-0.023256,12.574824
0.44,-0.030502,12.37712
0.441,-0.035493,12.264146
0.442,-0.038391,12.094685
0.443,-0.040162,12.094685
0.444,-0.040162,12.207659
0.445,-0.038391,12.207659
0.446,-0.02857,12.292389
0.447,-0.019231,12.46185
0.448,-0.018587,12.292389
0.449,-0.016655,12.066442
0.45,-0.009571,12.264146
0.451,-0.001037,12.038198
0.452,0.004598,12.179416
0.453,0.008463,12.207659
0.454,0.013132,12.292389
0.455,0.018284,12.292389
0.456,0.023436,12.348876
0.457,0.027301,12.37712
0.458,0.03036,12.292389
0.459,0.033258,12.292389
0.46,0.035673,12.348876
0.461,0.036478,12.320633
0.462,0.037122,12.235903
0.463,0.037283,12.038198
0.464,0.036317,12.207659
0.465,0.03519,12.122929
0.466,0.033902,11.896981
0.467,0.03197,11.586303
0.468,0.029233,12.009955
0.469,0.026979,12.518337
0.47,0.02408,12.490094
0.471,0.021665,12.179416
0.472,0.018767,12.37712
0.473,0.015547,12.405363
0.474,0.011361,12.546581
0.475,0.006852,12.235903
0.476,0.001539,12.094685
0.477,-0.003774,11.868738
0.478,-0.009088,11.953468
0.479,-0.01424,11.868738
0.48,-0.018909,12.264146
0.481,-0.0239,12.348876
0.482,-0.027926,12.320633
0.483,-0.03018,12.292389
0.484,-0.030341,12.264146
0.485,-0.028087,12.009955
0.486,-0.023095,12.009955
0.487,-0.024544,12.122929
0.488,-0.01907,12.179416
0.489,-0.014723,12.320633
0.49,-0.008443,12.235903
0.491,-0.002164,12.348876
0.492,0.006208,12.433607
0.493,0.013615,12.348876
0.494,0.019733,12.179416
0.495,0.025208,12.066442
0.496,0.029394,12.038198
0.497,0.031648,12.094685
0.498,0.032936,12.066442
0.499,0.032292,12.094685
0.5,0.031648,12.122929
0.501,0.03036,12.038198
0.502,0.029072,12.264146
0.503,0.026818,12.235903
0.504,0.024241,12.207659
0.505,0.019894,12.348876
0.506,0.01603,12.37712
0.507,0.011361,12.264146
0.508,0.005725,12.546581
0.509,9.00E-05,12.857259
0.51,-0.005867,11.981711
0.511,-0.012308,12.207659
0.512,-0.018587,11.953468
0.513,-0.024866,12.066442
0.514,-0.030341,12.235903
0.515,-0.033883,12.518337
0.516,-0.035976,12.716041
0.517,-0.038391,12.687798
0.518,-0.041772,12.631311
0.519,-0.04612,12.207659
0.52,-0.049501,12.179416
0.521,-0.051272,12.405363
0.522,-0.05095,12.659554
0.523,-0.048213,12.687798
0.524,-0.042255,12.574824
0.525,-0.0334,12.518337
0.526,-0.023578,12.264146
0.527,-0.014562,12.433607
0.528,-0.006994,12.433607
0.529,-0.001198,12.320633
0.53,0.00331,12.46185
0.531,0.00798,12.687798
0.532,0.009107,12.716041
0.533,0.009107,12.716041
0.534,0.005242,12.46185
0.535,0.000895,12.292389
0.536,9.00E-05,12.405363
0.537,0.000895,12.292389
0.538,-0.000715,12.179416
0.539,-0.003613,12.490094
0.54,-0.005223,12.405363
0.541,-0.004257,12.603068
0.542,-0.002003,12.490094
0.543,-0.000715,12.490094
0.544,0.000412,12.292389
0.545,0.001056,12.405363
0.546,0.000412,12.207659
0.547,-0.001359,12.292389
0.548,-0.004579,12.094685
0.549,-0.00796,11.784007
0.55,-0.011664,12.490094
0.551,-0.014562,12.518337
0.552,-0.017621,12.292389
0.553,-0.018748,12.518337
0.554,-0.017621,12.348876
0.555,-0.015689,12.264146
0.556,-0.01424,12.038198
0.557,-0.013757,12.151172
0.558,-0.012147,12.009955
0.559,-0.009732,12.038198
0.56,-0.006189,12.46185
0.561,-0.002647,12.264146
0.562,0.000573,12.348876
0.563,0.004276,12.37712
0.564,0.008302,12.348876
0.565,0.012649,12.264146
0.566,0.01442,12.094685
0.567,0.020216,12.094685
0.568,0.017157,11.953468
0.569,0.013132,12.009955
0.57,0.012649,12.122929
0.571,0.009429,12.37712
0.572,0.006852,12.292389
0.573,0.003793,12.235903
0.574,0.000895,12.179416
0.575,-7.10E-05,12.348876
0.576,-0.000232,12.151172
0.577,0.000573,12.094685
0.578,0.001217,11.953468
0.579,0.001861,12.066442
0.58,0.002183,12.094685
0.581,0.000573,12.122929
